vehicleDescriptor,source,currentMileage,nextOilChangeDueMileage,color,vin,licensePlate,state,registrationExpiration,notes,status,mvaNumber
"Jeep Grand Cherokee","Avis",0,5000,"Gray","","","","","Avis - Austin","With Customer","53480840"
"Toyota Camry","Avis",2600,7600,"White","","","TX","","","With Customer",""
"Chevy Traverse","Jay",26436,30732,"White","1GNERHKW1LJ246251","","","","","With Customer",""
"Chevy Suburban","Avis",48249,49000,"Green","","KDR6097","OH","","","With Customer","53362643"
"Mazda 3","Avis",10423,15423,"Gray","JM1BPACM7S1768595","VNH7350","TX","2026-11-20","Austin - avis","With Customer","56120444"
"Mazda CX-30","Jay",0,5000,"Black","3MVDMBBM2SM760821","","TX","","","Maintenance",""
"Mazda CX-5","Jay",0,5000,"Gold","","","TX","","","With Customer","",""
"Jeep Compass","Avis",0,5000,"Silver","","","","","","Unavailable","58382074"
"Subaru Forester","Avis",1302,6302,"Green","","","","","","With Customer","56567862"
"Mazda 3","Avis",0,5000,"Blue","JM1BPACM6S1768426","VGV2445","TX","","","Available","55988903"
"Ford Escape","Avis",0,5000,"","","","","","Avis - Austin","With Customer","54521854"
"Mazda CX-5","Jay",0,5000,"Gray","JM3KFBCL1R0430195","","TX","","","With Customer","",""
"Hyundai Sonata","Avis",4126,9126,"Gray","","Wdd3999","TX","","","With Customer","56750116"
"Toyota Rav 4","Avis",0,5000,"Gray","","","","","","With Customer","56782843"
"Toyota Camry Hybrid","Avis",0,5000,"Black","","","","","","With Customer","56730892"
"Ford F-150","Avis",37448,1200,"White","","","","","Avis - Austin","With Customer","53277604"
"Ford F-250","Avis",26162,29162,"Gray","","30350Y3","CA","","","With Customer","",""
"Toyota Corolla","Avis",2116,5000,"Silver","","","","","","With Customer","56920194"
"Nissan Altima","Avis",34203,39203,"Gray","","","","2025-03-31","Austin - Avis","With Customer","54615713"
"Jeep Compass","Avis",0,5000,"Black","","","","","","Maintenance","56750116"
"Honda CRV","Avis",7383,12383,"Silver","7FARS3H74SE002816","VXJ8981","TX","2026-12-31","","With Customer","56227651" 
